ratio_absorb,PSII_content_per_leaf,PSII_antenna_size,Phi2,Phi2*PSII_antanna_size*100
0.544444444,6.23,0.366666667,0.167112829,6.127470381
0.455555556,4.69,0.633333333,0.096488696,6.110950735
0.544444444,1.61,0.366666667,0.155643092,5.70691339
0.277777778,3.92,0.544444444,0.114448199,6.231068588
0.366666667,6.23,0.544444444,0.115923414,6.311385878
0.544444444,3.15,0.544444444,0.108523724,5.908513885
0.366666667,6.23,0.277777778,0.225513344,6.264259559
0.455555556,6.23,0.9,0.069255615,6.233005365
0.544444444,0.84,0.366666667,0.151447594,5.553078445
0.722222222,6.23,0.1,0.574421517,5.744215171
0.9,0.07,0.455555556,0.086717713,3.950473598
0.188888889,1.61,0.277777778,0.216055139,6.001531639
0.9,3.15,0.633333333,0.091043782,5.766106222
0.1,4.69,0.1,0.622904382,6.229043825
0.811111111,3.15,0.455555556,0.127019072,5.786424393
0.366666667,5.46,0.277777778,0.223531999,6.209222197
0.277777778,6.23,0.366666667,0.174987676,6.416214795
0.9,2.38,0.9,0.063317492,5.698574242
0.633333333,0.07,0.811111111,0.05535216,4.489675232
0.455555556,7,0.544444444,0.115112384,6.267229815
0.633333333,2.38,0.1,0.556643668,5.566436678
0.544444444,7,0.633333333,0.097865885,6.198172741
0.722222222,0.84,0.366666667,0.149765615,5.491405885
0.722222222,3.92,0.366666667,0.160212526,5.874459272
0.633333333,1.61,0.455555556,0.124596884,5.676080275
0.366666667,0.84,0.277777778,0.20276886,5.632468332
0.1,0.07,0.811111111,0.066481183,5.392362617
0.544444444,1.61,0.9,0.063634707,5.727123623
0.811111111,5.46,0.633333333,0.094123522,5.961156368
0.188888889,0.07,0.188888889,0.274895498,5.192470523
0.633333333,0.84,0.544444444,0.101547578,5.528701487
0.544444444,1.61,0.1,0.552057974,5.520579739
0.277777778,3.15,0.9,0.068411244,6.157011938
0.277777778,5.46,0.811111111,0.078810563,6.39241232
0.455555556,1.61,0.455555556,0.126454088,5.76068621
0.366666667,6.23,0.455555556,0.138349961,6.302609356
0.366666667,7,0.544444444,0.116895025,6.36428467
0.1,3.92,0.455555556,0.147787699,6.732550744
0.1,2.38,0.455555556,0.141820349,6.46070478
0.277777778,5.46,0.188888889,0.331712833,6.265686853
0.1,2.38,0.1,0.601294238,6.012942379
0.455555556,0.07,0.366666667,0.13086061,4.798222378
0.722222222,3.92,0.722222222,0.081631844,5.89563321
0.9,5.46,0.544444444,0.108796932,5.923388504
0.9,7,0.1,0.57202121,5.720212096
0.455555556,3.92,0.722222222,0.08374895,6.048535255
0.366666667,4.69,0.277777778,0.221357463,6.148818422
0.811111111,4.69,0.1,0.565455746,5.654557463
0.455555556,6.23,0.366666667,0.169025685,6.197608449
0.544444444,6.23,0.1,0.581277748,5.812777482
0.9,6.23,0.633333333,0.094270424,5.9704602
0.633333333,6.23,0.811111111,0.075205684,6.100016631
0.811111111,4.69,0.455555556,0.129572476,5.902746113
0.9,1.61,0.722222222,0.077550413,5.600863185
0.366666667,5.46,0.811111111,0.07726176,6.266787201
0.366666667,1.61,0.1,0.559736064,5.597360638
0.9,3.15,0.277777778,0.206536647,5.737129095
0.366666667,3.92,0.188888889,0.319397974,6.033072851
0.455555556,0.84,0.811111111,0.06915619,5.609335427
0.9,3.15,0.544444444,0.105848283,5.762850969
0.722222222,7,0.544444444,0.111738055,6.083516312
0.188888889,3.15,0.544444444,0.115769382,6.302999707
0.811111111,1.61,0.633333333,0.088788478,5.623270304
0.455555556,7,0.277777778,0.223995944,6.222109549
0.722222222,3.92,0.188888889,0.308206909,5.821686063
0.277777778,3.15,0.1,0.581051095,5.810510953
0.633333333,3.15,0.811111111,0.072383287,5.871088848
0.811111111,6.23,0.633333333,0.094823152,6.005466298
0.188888889,3.15,0.455555556,0.138170066,6.294414122
0.722222222,4.69,0.722222222,0.082417524,5.952376755
0.9,7,0.9,0.06685918,6.017326203
0.455555556,4.69,0.722222222,0.084664242,6.11463969
0.366666667,0.84,0.544444444,0.103861619,5.654688122
0.9,6.23,0.9,0.066419744,5.977776935
0.9,1.61,0.277777778,0.200726704,5.575741772
0.722222222,0.84,0.722222222,0.076206138,5.503776612
0.455555556,3.92,0.811111111,0.074600591,6.050936814
0.722222222,5.46,0.366666667,0.163077229,5.979498393
0.277777778,0.07,0.455555556,0.111679003,5.087599038
0.811111111,2.38,0.455555556,0.12538751,5.712097664
